"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Nov-22",26,24,2,16,15,8,9,2022,11,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Nov-22",95,92,3,67,73,25,19,2022,11,-35.3069,149.195,-27.3842,153.1175
"Canberra-Gold Coast","Canberra","Gold Coast","Virgin Australia","Nov-22",30,30,0,24,26,6,4,2022,11,-35.3069,149.195,-28.1644,153.5051
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Nov-22",116,116,0,68,71,48,45,2022,11,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","Virgin Australia","Nov-22",252,231,21,181,185,50,46,2022,11,-35.3069,149.195,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Nov-22",39,38,1,12,23,26,15,2022,11,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Virgin Australia","Nov-22",30,30,0,16,19,14,11,2022,11,-12.4147,130.8767,-37.669,144.841
"Darwin-Perth","Darwin","Perth","Virgin Australia","Nov-22",3,3,0,1,1,2,2,2022,11,-12.4147,130.8767,-31.9403,115.9676
"Darwin-Sydney","Darwin","Sydney","Virgin Australia","Nov-22",30,29,1,14,22,15,7,2022,11,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Nov-22",44,40,4,17,16,23,24,2022,11,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Canberra","Gold Coast","Canberra","Virgin Australia","Nov-22",30,30,0,21,20,9,10,2022,11,-28.1644,153.5051,-35.3069,149.195
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Nov-22",275,262,13,155,156,107,106,2022,11,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Nov-22",313,295,18,170,168,125,127,2022,11,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Nov-22",261,249,12,146,124,103,125,2022,11,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Nov-22",374,362,12,209,221,153,141,2022,11,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Nov-22",49,49,0,28,36,21,13,2022,11,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Nov-22",116,116,0,75,73,41,43,2022,11,-37.669,144.841,-35.3069,149.195
"Melbourne-Darwin","Melbourne","Darwin","Virgin Australia","Nov-22",30,30,0,18,12,12,18,2022,11,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Nov-22",275,262,13,157,168,105,94,2022,11,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Nov-22",151,146,5,84,96,62,50,2022,11,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Nov-22",785,709,76,448,412,261,297,2022,11,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Nov-22",27,26,1,21,18,5,8,2022,11,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Nov-22",112,108,4,56,86,52,22,2022,11,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Virgin Australia","Nov-22",3,3,0,1,1,2,2,2022,11,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Nov-22",161,156,5,109,117,47,39,2022,11,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Virgin Australia","Nov-22",136,131,5,87,109,44,22,2022,11,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Nov-22",142,131,11,83,71,48,60,2022,11,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Nov-22",456,415,41,287,286,128,129,2022,11,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Nov-22",65,64,1,57,56,7,8,2022,11,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Canberra","Sydney","Canberra","Virgin Australia","Nov-22",252,231,21,174,180,57,51,2022,11,-33.9399,151.1753,-35.3069,149.195
"Sydney-Darwin","Sydney","Darwin","Virgin Australia","Nov-22",30,29,1,16,14,13,15,2022,11,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Nov-22",313,295,18,171,157,124,138,2022,11,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Nov-22",777,701,76,387,406,314,295,2022,11,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Virgin Australia","Nov-22",140,134,6,75,67,59,67,2022,11,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Perth","Adelaide","Perth","Virgin Australia Regional Airlines","Nov-22",33,29,4,9,10,20,19,2022,11,-34.945,138.5306,-31.9403,115.9676
"Darwin-Perth","Darwin","Perth","Virgin Australia Regional Airlines","Nov-22",18,18,0,13,13,5,5,2022,11,-12.4147,130.8767,-31.9403,115.9676
"Perth-Adelaide","Perth","Adelaide","Virgin Australia Regional Airlines","Nov-22",29,27,2,18,17,9,10,2022,11,-31.9403,115.9676,-34.945,138.5306
"Perth-Darwin","Perth","Darwin","Virgin Australia Regional Airlines","Nov-22",18,18,0,15,14,3,4,2022,11,-31.9403,115.9676,-12.4147,130.8767
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Dec-22",32,31,1,23,22,8,9,2022,12,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Dec-22",34,33,1,29,28,4,5,2022,12,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Dec-22",111,106,5,58,63,48,43,2022,12,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Jetstar","Dec-22",30,28,2,21,21,7,7,2022,12,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Dec-22",118,105,13,74,78,31,27,2022,12,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Dec-22",31,31,0,18,16,13,15,2022,12,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Dec-22",89,87,2,51,54,36,33,2022,12,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Jetstar","Dec-22",30,30,0,27,28,3,2,2022,12,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Dec-22",23,22,1,19,14,3,8,2022,12,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Dec-22",143,131,12,73,77,58,54,2022,12,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Jetstar","Dec-22",24,22,2,10,13,12,9,2022,12,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Dec-22",156,128,28,75,83,53,45,2022,12,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Dec-22",88,87,1,57,50,30,37,2022,12,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","Dec-22",96,90,6,44,42,46,48,2022,12,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Jetstar","Dec-22",91,90,1,64,62,26,28,2022,12,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Brisbane","Canberra","Brisbane","Jetstar","Dec-22",30,30,0,28,29,2,1,2022,12,-35.3069,149.195,-27.3842,153.1175
"Canberra-Gold Coast","Canberra","Gold Coast","Jetstar","Dec-22",19,16,3,9,10,7,6,2022,12,-35.3069,149.195,-28.1644,153.5051
"Canberra-Melbourne","Canberra","Melbourne","Jetstar","Dec-22",32,30,2,10,12,20,18,2022,12,-35.3069,149.195,-37.669,144.841
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Dec-22",23,22,1,9,13,13,9,2022,12,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Jetstar","Dec-22",25,24,1,9,11,15,13,2022,12,-12.4147,130.8767,-37.669,144.841
"Darwin-Sydney","Darwin","Sydney","Jetstar","Dec-22",24,22,2,10,15,12,7,2022,12,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Dec-22",34,33,1,27,27,6,6,2022,12,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Canberra","Gold Coast","Canberra","Jetstar","Dec-22",18,18,0,10,11,8,7,2022,12,-28.1644,153.5051,-35.3069,149.195
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","Dec-22",210,190,20,135,118,55,72,2022,12,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","Dec-22",275,247,28,170,166,77,81,2022,12,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Dec-22",110,105,5,68,68,37,37,2022,12,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Dec-22",142,131,11,61,69,70,62,2022,12,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","Dec-22",96,91,5,45,52,46,39,2022,12,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Jetstar","Dec-22",32,30,2,12,12,18,18,2022,12,-37.669,144.841,-35.3069,149.195
"Melbourne-Darwin","Melbourne","Darwin","Jetstar","Dec-22",25,24,1,14,16,10,8,2022,12,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","Dec-22",210,191,19,99,111,92,80,2022,12,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Jetstar","Dec-22",86,80,6,46,45,34,35,2022,12,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Dec-22",395,328,67,176,186,152,142,2022,12,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Jetstar","Dec-22",29,27,2,15,14,12,13,2022,12,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Jetstar","Dec-22",26,23,3,7,12,16,11,2022,12,-31.9403,115.9676,-27.3842,153.1175
"Perth-Melbourne","Perth","Melbourne","Jetstar","Dec-22",85,77,8,24,27,53,50,2022,12,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Jetstar","Dec-22",44,41,3,7,18,34,23,2022,12,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Dec-22",120,108,12,69,75,39,33,2022,12,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Dec-22",155,126,29,75,79,51,47,2022,12,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Jetstar","Dec-22",91,90,1,62,65,28,25,2022,12,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Darwin","Sydney","Darwin","Jetstar","Dec-22",22,21,1,13,13,8,8,2022,12,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Dec-22",275,247,28,154,164,93,83,2022,12,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Dec-22",394,325,69,178,196,147,129,2022,12,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Jetstar","Dec-22",44,42,2,16,22,26,20,2022,12,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Dec-22",35,35,0,29,30,6,5,2022,12,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas","Dec-22",225,222,3,154,152,68,70,2022,12,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Qantas","Dec-22",99,99,0,72,82,27,17,2022,12,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Dec-22",210,207,3,139,153,68,54,2022,12,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Dec-22",35,35,0,29,29,6,6,2022,12,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Dec-22",124,124,0,101,104,23,20,2022,12,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Qantas","Dec-22",19,19,0,19,18,0,1,2022,12,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Dec-22",13,13,0,10,10,3,3,2022,12,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas","Dec-22",313,307,6,238,228,69,79,2022,12,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Qantas","Dec-22",148,148,0,113,105,35,43,2022,12,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Dec-22",460,438,22,342,342,96,96,2022,12,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Dec-22",124,124,0,104,111,20,13,2022,12,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Qantas","Dec-22",38,38,0,28,30,10,8,2022,12,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Qantas","Dec-22",68,68,0,48,47,20,21,2022,12,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Brisbane","Canberra","Brisbane","Qantas","Dec-22",19,19,0,18,18,1,1,2022,12,-35.3069,149.195,-27.3842,153.1175
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Dec-22",14,14,0,11,12,3,2,2022,12,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Qantas","Dec-22",29,29,0,24,24,5,5,2022,12,-12.4147,130.8767,-37.669,144.841
"Darwin-Perth","Darwin","Perth","Qantas","Dec-22",16,16,0,9,11,7,5,2022,12,-12.4147,130.8767,-31.9403,115.9676
"Darwin-Sydney","Darwin","Sydney","Qantas","Dec-22",36,34,2,22,27,12,7,2022,12,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas","Dec-22",60,58,2,44,38,14,20,2022,12,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas","Dec-22",89,89,0,66,54,23,35,2022,12,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas","Dec-22",225,221,4,158,156,63,65,2022,12,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas","Dec-22",314,309,5,224,231,85,78,2022,12,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Qantas","Dec-22",38,38,0,28,30,10,8,2022,12,-37.669,144.841,-16.8858,145.7553
"Melbourne-Darwin","Melbourne","Darwin","Qantas","Dec-22",29,29,0,13,13,16,16,2022,12,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas","Dec-22",59,57,2,50,49,7,8,2022,12,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Qantas","Dec-22",202,201,1,106,110,95,91,2022,12,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Dec-22",686,628,58,456,433,172,195,2022,12,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Qantas","Dec-22",100,100,0,72,76,28,24,2022,12,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Qantas","Dec-22",149,147,2,110,129,37,18,2022,12,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Qantas","Dec-22",16,16,0,11,11,5,5,2022,12,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Qantas","Dec-22",202,201,1,122,127,79,74,2022,12,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Qantas","Dec-22",195,194,1,114,126,80,68,2022,12,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Dec-22",212,211,1,146,133,65,78,2022,12,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Dec-22",461,440,21,296,305,144,135,2022,12,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Qantas","Dec-22",68,68,0,45,44,23,24,2022,12,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Darwin","Sydney","Darwin","Qantas","Dec-22",36,35,1,31,31,4,4,2022,12,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Qantas","Dec-22",89,89,0,67,68,22,21,2022,12,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Dec-22",687,629,58,445,461,184,168,2022,12,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Qantas","Dec-22",194,193,1,112,105,81,88,2022,12,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","QantasLink","Dec-22",100,99,1,57,58,42,41,2022,12,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Canberra","Adelaide","Canberra","QantasLink","Dec-22",79,79,0,76,75,3,4,2022,12,-34.945,138.5306,-35.3069,149.195
"Adelaide-Melbourne","Adelaide","Melbourne","QantasLink","Dec-22",14,14,0,12,9,2,5,2022,12,-34.945,138.5306,-37.669,144.841
"Brisbane-Adelaide","Brisbane","Adelaide","QantasLink","Dec-22",99,98,1,67,52,31,46,2022,12,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Dec-22",10,10,0,7,7,3,3,2022,12,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Dec-22",134,133,1,107,104,26,29,2022,12,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","QantasLink","Dec-22",31,31,0,15,12,16,19,2022,12,-27.3842,153.1175,-12.4147,130.8767
"Cairns-Brisbane","Cairns","Brisbane","QantasLink","Dec-22",10,10,0,7,7,3,3,2022,12,-16.8858,145.7553,-27.3842,153.1175
"Canberra-Adelaide","Canberra","Adelaide","QantasLink","Dec-22",80,80,0,69,60,11,20,2022,12,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Dec-22",134,132,2,100,98,32,34,2022,12,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Dec-22",182,176,6,146,138,30,38,2022,12,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","QantasLink","Dec-22",392,360,32,267,262,93,98,2022,12,-35.3069,149.195,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","QantasLink","Dec-22",31,31,0,24,26,7,5,2022,12,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Perth","Darwin","Perth","QantasLink","Dec-22",15,15,0,5,6,10,9,2022,12,-12.4147,130.8767,-31.9403,115.9676
"Gold Coast-Melbourne","Gold Coast","Melbourne","QantasLink","Dec-22",4,4,0,3,3,1,1,2022,12,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","QantasLink","Dec-22",20,20,0,14,13,6,7,2022,12,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","QantasLink","Dec-22",14,12,2,6,6,6,6,2022,12,-37.669,144.841,-34.945,138.5306
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Dec-22",184,179,5,149,148,30,31,2022,12,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","QantasLink","Dec-22",4,4,0,4,4,0,0,2022,12,-37.669,144.841,-28.1644,153.5051
"Perth-Darwin","Perth","Darwin","QantasLink","Dec-22",15,15,0,10,10,5,5,2022,12,-31.9403,115.9676,-12.4147,130.8767
"Sydney-Canberra","Sydney","Canberra","QantasLink","Dec-22",392,358,34,273,291,85,67,2022,12,-33.9399,151.1753,-35.3069,149.195
"Sydney-Gold Coast","Sydney","Gold Coast","QantasLink","Dec-22",20,20,0,16,17,4,3,2022,12,-33.9399,151.1753,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Rex Airlines","Dec-22",58,58,0,46,44,12,14,2022,12,-34.945,138.5306,-37.669,144.841
"Brisbane-Melbourne","Brisbane","Melbourne","Rex Airlines","Dec-22",64,60,4,36,39,24,21,2022,12,-27.3842,153.1175,-37.669,144.841
"Brisbane-Sydney","Brisbane","Sydney","Rex Airlines","Dec-22",144,144,0,116,114,28,30,2022,12,-27.3842,153.1175,-33.9399,151.1753
"Canberra-Melbourne","Canberra","Melbourne","Rex Airlines","Dec-22",32,32,0,18,16,14,16,2022,12,-35.3069,149.195,-37.669,144.841
"Gold Coast-Melbourne","Gold Coast","Melbourne","Rex Airlines","Dec-22",33,33,0,24,22,9,11,2022,12,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Rex Airlines","Dec-22",32,32,0,21,26,11,6,2022,12,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Rex Airlines","Dec-22",57,57,0,38,39,19,18,2022,12,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Rex Airlines","Dec-22",62,59,3,40,36,19,23,2022,12,-37.669,144.841,-27.3842,153.1175
"Melbourne-Canberra","Melbourne","Canberra","Rex Airlines","Dec-22",31,31,0,20,19,11,12,2022,12,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","Rex Airlines","Dec-22",33,33,0,27,25,6,8,2022,12,-37.669,144.841,-28.1644,153.5051
"Melbourne-Sydney","Melbourne","Sydney","Rex Airlines","Dec-22",205,197,8,159,152,38,45,2022,12,-37.669,144.841,-33.9399,151.1753
"Sydney-Brisbane","Sydney","Brisbane","Rex Airlines","Dec-22",145,145,0,119,119,26,26,2022,12,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Gold Coast","Sydney","Gold Coast","Rex Airlines","Dec-22",32,32,0,26,24,6,8,2022,12,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Rex Airlines","Dec-22",203,195,8,155,147,40,48,2022,12,-33.9399,151.1753,-37.669,144.841
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Dec-22",143,140,3,95,110,45,30,2022,12,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia","Dec-22",23,23,0,15,17,8,6,2022,12,-34.945,138.5306,-35.3069,149.195
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Dec-22",43,42,1,32,29,10,13,2022,12,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Dec-22",263,253,10,169,177,84,76,2022,12,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Dec-22",18,17,1,7,7,10,10,2022,12,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Dec-22",145,138,7,89,95,49,43,2022,12,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Dec-22",143,140,3,104,102,36,38,2022,12,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Dec-22",138,136,2,84,72,52,64,2022,12,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Dec-22",104,102,2,70,76,32,26,2022,12,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Dec-22",40,40,0,31,23,9,17,2022,12,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Dec-22",386,370,16,207,191,163,179,2022,12,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Dec-22",129,123,6,73,68,50,55,2022,12,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Dec-22",442,418,24,277,276,141,142,2022,12,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Dec-22",137,135,2,82,89,53,46,2022,12,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Virgin Australia","Dec-22",61,57,4,41,42,16,15,2022,12,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Virgin Australia","Dec-22",99,95,4,72,73,23,22,2022,12,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Dec-22",23,23,0,18,14,5,9,2022,12,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Dec-22",104,102,2,72,80,30,22,2022,12,-35.3069,149.195,-27.3842,153.1175
"Canberra-Gold Coast","Canberra","Gold Coast","Virgin Australia","Dec-22",35,35,0,24,26,11,9,2022,12,-35.3069,149.195,-28.1644,153.5051
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Dec-22",114,113,1,71,75,42,38,2022,12,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","Virgin Australia","Dec-22",242,231,11,191,196,40,35,2022,12,-35.3069,149.195,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Dec-22",40,40,0,16,29,24,11,2022,12,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Virgin Australia","Dec-22",29,28,1,14,17,14,11,2022,12,-12.4147,130.8767,-37.669,144.841
"Darwin-Perth","Darwin","Perth","Virgin Australia","Dec-22",3,3,0,1,1,2,2,2022,12,-12.4147,130.8767,-31.9403,115.9676
"Darwin-Sydney","Darwin","Sydney","Virgin Australia","Dec-22",31,31,0,14,27,17,4,2022,12,-12.4147,130.8767,-33.9399,151.1753
