"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Sydney-Canberra","Sydney","Canberra","QantasLink","Jan-20",323,295,28,204,199,91,96,2020,1,-33.9399,151.1753,-35.3069,149.195
"Sydney-Gold Coast","Sydney","Gold Coast","QantasLink","Jan-20",40,40,0,32,31,8,9,2020,1,-33.9399,151.1753,-28.1644,153.5051
"Adelaide-Brisbane","Adelaide","Brisbane","Tigerair Australia","Jan-20",29,27,2,22,21,5,6,2020,1,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Melbourne","Adelaide","Melbourne","Tigerair Australia","Jan-20",73,69,4,49,46,20,23,2020,1,-34.945,138.5306,-37.669,144.841
"Adelaide-Sydney","Adelaide","Sydney","Tigerair Australia","Jan-20",30,29,1,17,12,12,17,2020,1,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Tigerair Australia","Jan-20",29,27,2,22,24,5,3,2020,1,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Tigerair Australia","Jan-20",31,30,1,23,23,7,7,2020,1,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Tigerair Australia","Jan-20",31,30,1,25,25,5,5,2020,1,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Tigerair Australia","Jan-20",19,19,0,14,16,5,3,2020,1,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Tigerair Australia","Jan-20",121,118,3,81,80,37,38,2020,1,-27.3842,153.1175,-37.669,144.841
"Brisbane-Sydney","Brisbane","Sydney","Tigerair Australia","Jan-20",139,134,5,93,91,41,43,2020,1,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Tigerair Australia","Jan-20",31,30,1,23,25,7,5,2020,1,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Tigerair Australia","Jan-20",43,43,0,31,31,12,12,2020,1,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Tigerair Australia","Jan-20",31,31,0,25,27,6,4,2020,1,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Brisbane","Canberra","Brisbane","Tigerair Australia","Jan-20",31,30,1,24,22,6,8,2020,1,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","Tigerair Australia","Jan-20",34,32,2,20,21,12,11,2020,1,-35.3069,149.195,-37.669,144.841
"Darwin-Brisbane","Darwin","Brisbane","Tigerair Australia","Jan-20",18,18,0,15,15,3,3,2020,1,-12.4147,130.8767,-27.3842,153.1175
"Gold Coast-Melbourne","Gold Coast","Melbourne","Tigerair Australia","Jan-20",87,86,1,50,51,36,35,2020,1,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Tigerair Australia","Jan-20",97,96,1,46,49,50,47,2020,1,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Tigerair Australia","Jan-20",73,69,4,56,53,13,16,2020,1,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Tigerair Australia","Jan-20",121,118,3,91,81,27,37,2020,1,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Tigerair Australia","Jan-20",43,43,0,34,34,9,9,2020,1,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Tigerair Australia","Jan-20",34,32,2,23,23,9,9,2020,1,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","Tigerair Australia","Jan-20",87,87,0,66,60,21,27,2020,1,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Tigerair Australia","Jan-20",59,57,2,42,42,15,15,2020,1,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Tigerair Australia","Jan-20",267,242,25,165,142,77,100,2020,1,-37.669,144.841,-33.9399,151.1753
