Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Aug-22,102,101,1,57,56,44,45,2022,8,-35.3069,149.195,-37.669,144.841,55.44554455445545
Canberra-Sydney,Canberra,Sydney,Virgin Australia,Aug-22,262,254,8,219,215,35,39,2022,8,-35.3069,149.195,-33.9399,151.1753,84.64566929133859
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,Aug-22,31,31,0,13,15,18,16,2022,8,-12.4147,130.8767,-27.3842,153.1175,48.38709677419355
Darwin-Melbourne,Darwin,Melbourne,Virgin Australia,Aug-22,31,31,0,6,9,25,22,2022,8,-12.4147,130.8767,-37.669,144.841,29.03225806451613
Darwin-Perth,Darwin,Perth,Virgin Australia,Aug-22,9,9,0,3,3,6,6,2022,8,-12.4147,130.8767,-31.9403,115.9676,33.33333333333333
Darwin-Sydney,Darwin,Sydney,Virgin Australia,Aug-22,32,31,1,9,14,22,17,2022,8,-12.4147,130.8767,-33.9399,151.1753,45.16129032258064
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,Aug-22,31,31,0,23,21,8,10,2022,8,-28.1644,153.5051,-34.945,138.5306,67.74193548387096
Gold Coast-Cairns,Gold Coast,Cairns,Virgin Australia,Aug-22,14,14,0,10,11,4,3,2022,8,-28.1644,153.5051,-16.8858,145.7553,78.57142857142857
Gold Coast-Canberra,Gold Coast,Canberra,Virgin Australia,Aug-22,31,31,0,15,14,16,17,2022,8,-28.1644,153.5051,-35.3069,149.195,45.16129032258064
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,Aug-22,215,215,0,121,141,94,74,2022,8,-28.1644,153.5051,-37.669,144.841,65.58139534883722
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,Aug-22,302,296,6,220,202,76,94,2022,8,-28.1644,153.5051,-33.9399,151.1753,68.24324324324324
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,Aug-22,239,236,3,174,171,62,65,2022,8,-37.669,144.841,-34.945,138.5306,72.45762711864407
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,Aug-22,310,305,5,206,216,99,89,2022,8,-37.669,144.841,-27.3842,153.1175,70.81967213114754
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,Aug-22,70,70,0,52,52,18,18,2022,8,-37.669,144.841,-16.8858,145.7553,74.28571428571429
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,Aug-22,102,101,1,76,73,25,28,2022,8,-37.669,144.841,-35.3069,149.195,72.27722772277228
Melbourne-Darwin,Melbourne,Darwin,Virgin Australia,Aug-22,31,31,0,14,18,17,13,2022,8,-37.669,144.841,-12.4147,130.8767,58.06451612903226
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,Aug-22,215,215,0,143,152,72,63,2022,8,-37.669,144.841,-28.1644,153.5051,70.69767441860465
Melbourne-Perth,Melbourne,Perth,Virgin Australia,Aug-22,138,135,3,98,95,37,40,2022,8,-37.669,144.841,-31.9403,115.9676,70.37037037037037
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,Aug-22,760,714,46,547,510,167,204,2022,8,-37.669,144.841,-33.9399,151.1753,71.42857142857143
Perth-Adelaide,Perth,Adelaide,Virgin Australia,Aug-22,6,6,0,3,4,3,2,2022,8,-31.9403,115.9676,-34.945,138.5306,66.66666666666666
Perth-Brisbane,Perth,Brisbane,Virgin Australia,Aug-22,101,98,3,56,74,42,24,2022,8,-31.9403,115.9676,-27.3842,153.1175,75.51020408163265
Perth-Darwin,Perth,Darwin,Virgin Australia,Aug-22,9,9,0,2,3,7,6,2022,8,-31.9403,115.9676,-12.4147,130.8767,33.33333333333333
Perth-Melbourne,Perth,Melbourne,Virgin Australia,Aug-22,137,135,2,87,96,48,39,2022,8,-31.9403,115.9676,-37.669,144.841,71.11111111111111
Perth-Sydney,Perth,Sydney,Virgin Australia,Aug-22,138,134,4,81,110,53,24,2022,8,-31.9403,115.9676,-33.9399,151.1753,82.08955223880598
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,Aug-22,125,122,3,84,71,38,51,2022,8,-33.9399,151.1753,-34.945,138.5306,58.19672131147541
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,Aug-22,453,436,17,358,352,78,84,2022,8,-33.9399,151.1753,-27.3842,153.1175,80.73394495412845
Sydney-Cairns,Sydney,Cairns,Virgin Australia,Aug-22,68,68,0,57,60,11,8,2022,8,-33.9399,151.1753,-16.8858,145.7553,88.23529411764706
Sydney-Canberra,Sydney,Canberra,Virgin Australia,Aug-22,262,253,9,192,214,61,39,2022,8,-33.9399,151.1753,-35.3069,149.195,84.58498023715416
Sydney-Darwin,Sydney,Darwin,Virgin Australia,Aug-22,31,31,0,17,21,14,10,2022,8,-33.9399,151.1753,-12.4147,130.8767,67.74193548387096
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,Aug-22,302,296,6,209,198,87,98,2022,8,-33.9399,151.1753,-28.1644,153.5051,66.8918918918919
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,Aug-22,759,714,45,429,438,285,276,2022,8,-33.9399,151.1753,-37.669,144.841,61.34453781512605
Sydney-Perth,Sydney,Perth,Virgin Australia,Aug-22,138,134,4,82,82,52,52,2022,8,-33.9399,151.1753,-31.9403,115.9676,61.19402985074627
Adelaide-Perth,Adelaide,Perth,Virgin Australia Regional Airlines,Aug-22,52,45,7,18,23,27,22,2022,8,-34.945,138.5306,-31.9403,115.9676,51.11111111111111
Darwin-Perth,Darwin,Perth,Virgin Australia Regional Airlines,Aug-22,21,20,1,14,13,6,7,2022,8,-12.4147,130.8767,-31.9403,115.9676,65.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia Regional Airlines,Aug-22,52,46,6,29,29,17,17,2022,8,-31.9403,115.9676,-34.945,138.5306,63.04347826086957
Perth-Darwin,Perth,Darwin,Virgin Australia Regional Airlines,Aug-22,21,20,1,13,14,7,6,2022,8,-31.9403,115.9676,-12.4147,130.8767,70.0
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Aug-22,229,226,3,154,171,72,55,2022,8,-34.945,138.5306,-27.3842,153.1175,75.66371681415929
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Aug-22,88,87,1,67,68,20,19,2022,8,-34.945,138.5306,-35.3069,149.195,78.16091954022988
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Aug-22,53,53,0,45,45,8,8,2022,8,-34.945,138.5306,-28.1644,153.5051,84.90566037735849
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Aug-22,641,623,18,410,438,213,185,2022,8,-34.945,138.5306,-37.669,144.841,70.30497592295345
Adelaide-Perth,Adelaide,Perth,All Airlines,Aug-22,178,169,9,93,93,76,76,2022,8,-34.945,138.5306,-31.9403,115.9676,55.02958579881657
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Aug-22,422,413,9,261,264,152,149,2022,8,-34.945,138.5306,-33.9399,151.1753,63.922518159806295
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Aug-22,229,226,3,160,165,66,61,2022,8,-27.3842,153.1175,-34.945,138.5306,73.00884955752213
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Aug-22,318,318,0,210,218,108,100,2022,8,-27.3842,153.1175,-16.8858,145.7553,68.55345911949685
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Aug-22,280,273,7,174,179,99,94,2022,8,-27.3842,153.1175,-35.3069,149.195,65.56776556776556
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Aug-22,88,87,1,64,71,23,16,2022,8,-27.3842,153.1175,-12.4147,130.8767,81.60919540229885
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Aug-22,822,803,19,479,487,324,316,2022,8,-27.3842,153.1175,-37.669,144.841,60.647571606475715
Brisbane-Perth,Brisbane,Perth,All Airlines,Aug-22,265,256,9,179,138,77,118,2022,8,-27.3842,153.1175,-31.9403,115.9676,53.90625
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Aug-22,1196,1147,49,874,829,273,318,2022,8,-27.3842,153.1175,-33.9399,151.1753,72.27550130775937
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Aug-22,317,317,0,229,219,88,98,2022,8,-16.8858,145.7553,-27.3842,153.1175,69.08517350157729
Cairns-Gold Coast,Cairns,Gold Coast,All Airlines,Aug-22,46,46,0,25,28,21,18,2022,8,-16.8858,145.7553,-28.1644,153.5051,60.86956521739131
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Aug-22,246,244,2,132,133,112,111,2022,8,-16.8858,145.7553,-37.669,144.841,54.50819672131148
Cairns-Sydney,Cairns,Sydney,All Airlines,Aug-22,236,233,3,128,127,105,106,2022,8,-16.8858,145.7553,-33.9399,151.1753,54.506437768240346
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Aug-22,87,86,1,63,58,23,28,2022,8,-35.3069,149.195,-34.945,138.5306,67.44186046511628
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Aug-22,278,270,8,158,173,112,97,2022,8,-35.3069,149.195,-27.3842,153.1175,64.07407407407408
Canberra-Gold Coast,Canberra,Gold Coast,All Airlines,Aug-22,42,42,0,25,26,17,16,2022,8,-35.3069,149.195,-28.1644,153.5051,61.904761904761905
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Aug-22,420,404,16,286,281,118,123,2022,8,-35.3069,149.195,-37.669,144.841,69.55445544554455
Canberra-Sydney,Canberra,Sydney,All Airlines,Aug-22,711,659,52,522,507,137,152,2022,8,-35.3069,149.195,-33.9399,151.1753,76.93474962063733
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Aug-22,88,87,1,32,27,55,60,2022,8,-12.4147,130.8767,-27.3842,153.1175,31.03448275862069
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Aug-22,85,85,0,27,33,58,52,2022,8,-12.4147,130.8767,-37.669,144.841,38.82352941176471
Darwin-Perth,Darwin,Perth,All Airlines,Aug-22,65,63,2,34,37,29,26,2022,8,-12.4147,130.8767,-31.9403,115.9676,58.730158730158735
Darwin-Sydney,Darwin,Sydney,All Airlines,Aug-22,109,107,2,26,36,81,71,2022,8,-12.4147,130.8767,-33.9399,151.1753,33.64485981308411
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Aug-22,53,53,0,36,31,17,22,2022,8,-28.1644,153.5051,-34.945,138.5306,58.490566037735846
Gold Coast-Cairns,Gold Coast,Cairns,All Airlines,Aug-22,46,46,0,38,37,8,9,2022,8,-28.1644,153.5051,-16.8858,145.7553,80.43478260869566
Gold Coast-Canberra,Gold Coast,Canberra,All Airlines,Aug-22,42,42,0,22,21,20,21,2022,8,-28.1644,153.5051,-35.3069,149.195,50.0
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Aug-22,523,507,16,321,348,186,159,2022,8,-28.1644,153.5051,-37.669,144.841,68.63905325443787
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Aug-22,689,662,27,458,440,204,222,2022,8,-28.1644,153.5051,-33.9399,151.1753,66.46525679758308
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Aug-22,641,625,16,413,412,212,213,2022,8,-37.669,144.841,-34.945,138.5306,65.92
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Aug-22,819,798,21,532,574,266,224,2022,8,-37.669,144.841,-27.3842,153.1175,71.9298245614035
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Aug-22,246,244,2,131,146,113,98,2022,8,-37.669,144.841,-16.8858,145.7553,59.83606557377049
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Aug-22,420,407,13,303,304,104,103,2022,8,-37.669,144.841,-35.3069,149.195,74.69287469287468
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Aug-22,84,84,0,36,47,48,37,2022,8,-37.669,144.841,-12.4147,130.8767,55.952380952380956
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Aug-22,526,511,15,348,371,163,140,2022,8,-37.669,144.841,-28.1644,153.5051,72.6027397260274
Melbourne-Perth,Melbourne,Perth,All Airlines,Aug-22,386,371,15,224,227,147,144,2022,8,-37.669,144.841,-31.9403,115.9676,61.18598382749326
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Aug-22,2079,1845,234,1283,1262,562,583,2022,8,-37.669,144.841,-33.9399,151.1753,68.40108401084011
Perth-Adelaide,Perth,Adelaide,All Airlines,Aug-22,178,169,9,90,92,79,77,2022,8,-31.9403,115.9676,-34.945,138.5306,54.437869822485204
Perth-Brisbane,Perth,Brisbane,All Airlines,Aug-22,265,259,6,139,179,120,80,2022,8,-31.9403,115.9676,-27.3842,153.1175,69.1119691119691
Perth-Darwin,Perth,Darwin,All Airlines,Aug-22,65,63,2,39,42,24,21,2022,8,-31.9403,115.9676,-12.4147,130.8767,66.66666666666666
Perth-Melbourne,Perth,Melbourne,All Airlines,Aug-22,382,367,15,204,229,163,138,2022,8,-31.9403,115.9676,-37.669,144.841,62.39782016348774
Perth-Sydney,Perth,Sydney,All Airlines,Aug-22,364,350,14,180,236,170,114,2022,8,-31.9403,115.9676,-33.9399,151.1753,67.42857142857143
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Aug-22,422,413,9,258,226,155,187,2022,8,-33.9399,151.1753,-34.945,138.5306,54.72154963680388
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Aug-22,1197,1148,49,771,768,377,380,2022,8,-33.9399,151.1753,-27.3842,153.1175,66.89895470383276
Sydney-Cairns,Sydney,Cairns,All Airlines,Aug-22,236,233,3,145,158,88,75,2022,8,-33.9399,151.1753,-16.8858,145.7553,67.81115879828327
Sydney-Canberra,Sydney,Canberra,All Airlines,Aug-22,711,659,52,484,504,175,155,2022,8,-33.9399,151.1753,-35.3069,149.195,76.4795144157815
Sydney-Darwin,Sydney,Darwin,All Airlines,Aug-22,107,106,1,53,52,53,54,2022,8,-33.9399,151.1753,-12.4147,130.8767,49.056603773584904
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Aug-22,690,663,27,451,449,212,214,2022,8,-33.9399,151.1753,-28.1644,153.5051,67.72247360482655
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Aug-22,2075,1846,229,1154,1187,692,659,2022,8,-33.9399,151.1753,-37.669,144.841,64.3011917659805
Sydney-Perth,Sydney,Perth,All Airlines,Aug-22,362,352,10,207,177,145,175,2022,8,-33.9399,151.1753,-31.9403,115.9676,50.28409090909091
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,Sep-22,32,30,2,23,23,7,7,2022,9,-34.945,138.5306,-27.3842,153.1175,76.66666666666667
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,Sep-22,24,23,1,12,11,11,12,2022,9,-34.945,138.5306,-28.1644,153.5051,47.82608695652174
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Sep-22,89,82,7,58,62,24,20,2022,9,-34.945,138.5306,-37.669,144.841,75.60975609756098
Adelaide-Perth,Adelaide,Perth,Jetstar,Sep-22,24,24,0,17,16,7,8,2022,9,-34.945,138.5306,-31.9403,115.9676,66.66666666666666
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Sep-22,65,54,11,42,37,12,17,2022,9,-34.945,138.5306,-33.9399,151.1753,68.51851851851852
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,Sep-22,32,30,2,14,16,16,14,2022,9,-27.3842,153.1175,-34.945,138.5306,53.333333333333336
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Sep-22,85,80,5,37,39,43,41,2022,9,-27.3842,153.1175,-16.8858,145.7553,48.75
Brisbane-Canberra,Brisbane,Canberra,Jetstar,Sep-22,30,30,0,18,25,12,5,2022,9,-27.3842,153.1175,-35.3069,149.195,83.33333333333334
Brisbane-Darwin,Brisbane,Darwin,Jetstar,Sep-22,18,18,0,7,11,11,7,2022,9,-27.3842,153.1175,-12.4147,130.8767,61.111111111111114
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Sep-22,131,108,23,59,67,49,41,2022,9,-27.3842,153.1175,-37.669,144.841,62.03703703703704
Brisbane-Perth,Brisbane,Perth,Jetstar,Sep-22,18,17,1,6,3,11,14,2022,9,-27.3842,153.1175,-31.9403,115.9676,17.647058823529413
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Sep-22,146,115,31,63,64,52,51,2022,9,-27.3842,153.1175,-33.9399,151.1753,55.65217391304348
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Sep-22,83,78,5,45,44,33,34,2022,9,-16.8858,145.7553,-27.3842,153.1175,56.41025641025641
Cairns-Gold Coast,Cairns,Gold Coast,Jetstar,Sep-22,41,40,1,19,18,21,22,2022,9,-16.8858,145.7553,-28.1644,153.5051,45.0
Cairns-Melbourne,Cairns,Melbourne,Jetstar,Sep-22,116,113,3,72,77,41,36,2022,9,-16.8858,145.7553,-37.669,144.841,68.14159292035397
Cairns-Sydney,Cairns,Sydney,Jetstar,Sep-22,96,87,9,55,54,32,33,2022,9,-16.8858,145.7553,-33.9399,151.1753,62.06896551724138
Canberra-Brisbane,Canberra,Brisbane,Jetstar,Sep-22,30,30,0,18,20,12,10,2022,9,-35.3069,149.195,-27.3842,153.1175,66.66666666666666
Canberra-Gold Coast,Canberra,Gold Coast,Jetstar,Sep-22,10,9,1,1,1,8,8,2022,9,-35.3069,149.195,-28.1644,153.5051,11.11111111111111
Canberra-Melbourne,Canberra,Melbourne,Jetstar,Sep-22,30,28,2,16,18,12,10,2022,9,-35.3069,149.195,-37.669,144.841,64.28571428571429
Darwin-Brisbane,Darwin,Brisbane,Jetstar,Sep-22,18,18,0,10,7,8,11,2022,9,-12.4147,130.8767,-27.3842,153.1175,38.88888888888889
Darwin-Melbourne,Darwin,Melbourne,Jetstar,Sep-22,26,24,2,8,10,16,14,2022,9,-12.4147,130.8767,-37.669,144.841,41.66666666666667
Darwin-Sydney,Darwin,Sydney,Jetstar,Sep-22,19,18,1,2,5,16,13,2022,9,-12.4147,130.8767,-33.9399,151.1753,27.77777777777778
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,Sep-22,24,23,1,8,11,15,12,2022,9,-28.1644,153.5051,-34.945,138.5306,47.82608695652174
Gold Coast-Cairns,Gold Coast,Cairns,Jetstar,Sep-22,39,38,1,26,22,12,16,2022,9,-28.1644,153.5051,-16.8858,145.7553,57.89473684210527
Gold Coast-Canberra,Gold Coast,Canberra,Jetstar,Sep-22,10,9,1,1,2,8,7,2022,9,-28.1644,153.5051,-35.3069,149.195,22.22222222222222
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Sep-22,236,205,31,114,121,91,84,2022,9,-28.1644,153.5051,-37.669,144.841,59.02439024390244
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Sep-22,204,172,32,95,97,77,75,2022,9,-28.1644,153.5051,-33.9399,151.1753,56.395348837209305
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Sep-22,89,82,7,59,65,23,17,2022,9,-37.669,144.841,-34.945,138.5306,79.26829268292683
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Sep-22,131,109,22,61,63,48,46,2022,9,-37.669,144.841,-27.3842,153.1175,57.798165137614674
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Sep-22,116,114,2,66,76,48,38,2022,9,-37.669,144.841,-16.8858,145.7553,66.66666666666666
Melbourne-Canberra,Melbourne,Canberra,Jetstar,Sep-22,31,28,3,16,18,12,10,2022,9,-37.669,144.841,-35.3069,149.195,64.28571428571429
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Sep-22,25,24,1,13,11,11,13,2022,9,-37.669,144.841,-12.4147,130.8767,45.83333333333333
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Sep-22,236,206,30,132,124,74,82,2022,9,-37.669,144.841,-28.1644,153.5051,60.19417475728155
Melbourne-Perth,Melbourne,Perth,Jetstar,Sep-22,71,64,7,41,51,23,13,2022,9,-37.669,144.841,-31.9403,115.9676,79.6875
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Sep-22,404,335,69,180,198,155,137,2022,9,-37.669,144.841,-33.9399,151.1753,59.1044776119403
Perth-Adelaide,Perth,Adelaide,Jetstar,Sep-22,26,24,2,3,4,21,20,2022,9,-31.9403,115.9676,-34.945,138.5306,16.666666666666664
Perth-Brisbane,Perth,Brisbane,Jetstar,Sep-22,18,17,1,0,0,17,17,2022,9,-31.9403,115.9676,-27.3842,153.1175,0.0
Perth-Melbourne,Perth,Melbourne,Jetstar,Sep-22,72,63,9,23,33,40,30,2022,9,-31.9403,115.9676,-37.669,144.841,52.38095238095239
Perth-Sydney,Perth,Sydney,Jetstar,Sep-22,36,28,8,8,14,20,14,2022,9,-31.9403,115.9676,-33.9399,151.1753,50.0
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Sep-22,65,54,11,27,33,27,21,2022,9,-33.9399,151.1753,-34.945,138.5306,61.111111111111114
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Sep-22,147,115,32,58,64,57,51,2022,9,-33.9399,151.1753,-27.3842,153.1175,55.65217391304348
Sydney-Cairns,Sydney,Cairns,Jetstar,Sep-22,94,86,8,45,51,41,35,2022,9,-33.9399,151.1753,-16.8858,145.7553,59.30232558139535
Sydney-Darwin,Sydney,Darwin,Jetstar,Sep-22,19,18,1,9,6,9,12,2022,9,-33.9399,151.1753,-12.4147,130.8767,33.33333333333333
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Sep-22,203,172,31,94,100,78,72,2022,9,-33.9399,151.1753,-28.1644,153.5051,58.139534883720934
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Sep-22,403,334,69,191,207,143,127,2022,9,-33.9399,151.1753,-37.669,144.841,61.97604790419161
Sydney-Perth,Sydney,Perth,Jetstar,Sep-22,34,28,6,13,16,15,12,2022,9,-33.9399,151.1753,-31.9403,115.9676,57.14285714285714
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,Sep-22,86,85,1,59,67,26,18,2022,9,-34.945,138.5306,-27.3842,153.1175,78.82352941176471
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Sep-22,223,216,7,153,161,63,55,2022,9,-34.945,138.5306,-37.669,144.841,74.53703703703704
Adelaide-Perth,Adelaide,Perth,Qantas,Sep-22,94,94,0,68,68,26,26,2022,9,-34.945,138.5306,-31.9403,115.9676,72.3404255319149
Adelaide-Sydney,Adelaide,Sydney,Qantas,Sep-22,220,215,5,125,124,90,91,2022,9,-34.945,138.5306,-33.9399,151.1753,57.674418604651166
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,Sep-22,86,85,1,73,72,12,13,2022,9,-27.3842,153.1175,-34.945,138.5306,84.70588235294117
Brisbane-Cairns,Brisbane,Cairns,Qantas,Sep-22,109,109,0,78,84,31,25,2022,9,-27.3842,153.1175,-16.8858,145.7553,77.06422018348624
Brisbane-Darwin,Brisbane,Darwin,Qantas,Sep-22,44,44,0,40,41,4,3,2022,9,-27.3842,153.1175,-12.4147,130.8767,93.18181818181817
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Sep-22,325,318,7,202,212,116,106,2022,9,-27.3842,153.1175,-37.669,144.841,66.66666666666666
Brisbane-Perth,Brisbane,Perth,Qantas,Sep-22,148,144,4,111,92,33,52,2022,9,-27.3842,153.1175,-31.9403,115.9676,63.888888888888886
Brisbane-Sydney,Brisbane,Sydney,Qantas,Sep-22,484,471,13,352,335,119,136,2022,9,-27.3842,153.1175,-33.9399,151.1753,71.12526539278132
Cairns-Brisbane,Cairns,Brisbane,Qantas,Sep-22,109,108,1,90,87,18,21,2022,9,-16.8858,145.7553,-27.3842,153.1175,80.55555555555556
Cairns-Melbourne,Cairns,Melbourne,Qantas,Sep-22,55,55,0,38,32,17,23,2022,9,-16.8858,145.7553,-37.669,144.841,58.18181818181818
Cairns-Sydney,Cairns,Sydney,Qantas,Sep-22,65,63,2,41,33,22,30,2022,9,-16.8858,145.7553,-33.9399,151.1753,52.38095238095239
Canberra-Melbourne,Canberra,Melbourne,Qantas,Sep-22,9,9,0,6,7,3,2,2022,9,-35.3069,149.195,-37.669,144.841,77.77777777777779
Darwin-Brisbane,Darwin,Brisbane,Qantas,Sep-22,44,44,0,32,22,12,22,2022,9,-12.4147,130.8767,-27.3842,153.1175,50.0
Darwin-Melbourne,Darwin,Melbourne,Qantas,Sep-22,27,27,0,16,12,11,15,2022,9,-12.4147,130.8767,-37.669,144.841,44.44444444444444
Darwin-Perth,Darwin,Perth,Qantas,Sep-22,18,18,0,9,10,9,8,2022,9,-12.4147,130.8767,-31.9403,115.9676,55.55555555555556
Darwin-Sydney,Darwin,Sydney,Qantas,Sep-22,56,55,1,24,19,31,36,2022,9,-12.4147,130.8767,-33.9399,151.1753,34.54545454545455
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,Sep-22,31,30,1,20,24,10,6,2022,9,-28.1644,153.5051,-37.669,144.841,80.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,Sep-22,71,70,1,40,36,30,34,2022,9,-28.1644,153.5051,-33.9399,151.1753,51.42857142857142
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Sep-22,224,221,3,142,147,79,74,2022,9,-37.669,144.841,-34.945,138.5306,66.51583710407239
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Sep-22,324,319,5,210,239,109,80,2022,9,-37.669,144.841,-27.3842,153.1175,74.92163009404389
Melbourne-Cairns,Melbourne,Cairns,Qantas,Sep-22,55,55,0,43,42,12,13,2022,9,-37.669,144.841,-16.8858,145.7553,76.36363636363637
Melbourne-Canberra,Melbourne,Canberra,Qantas,Sep-22,9,9,0,7,7,2,2,2022,9,-37.669,144.841,-35.3069,149.195,77.77777777777779
Melbourne-Darwin,Melbourne,Darwin,Qantas,Sep-22,27,27,0,15,20,12,7,2022,9,-37.669,144.841,-12.4147,130.8767,74.07407407407408
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,Sep-22,31,30,1,28,28,2,2,2022,9,-37.669,144.841,-28.1644,153.5051,93.33333333333333
Melbourne-Perth,Melbourne,Perth,Qantas,Sep-22,169,169,0,88,89,81,80,2022,9,-37.669,144.841,-31.9403,115.9676,52.662721893491124
Melbourne-Sydney,Melbourne,Sydney,Qantas,Sep-22,716,662,54,469,460,193,202,2022,9,-37.669,144.841,-33.9399,151.1753,69.48640483383686
Perth-Adelaide,Perth,Adelaide,Qantas,Sep-22,94,94,0,56,56,38,38,2022,9,-31.9403,115.9676,-34.945,138.5306,59.57446808510638
Perth-Brisbane,Perth,Brisbane,Qantas,Sep-22,148,148,0,92,113,56,35,2022,9,-31.9403,115.9676,-27.3842,153.1175,76.35135135135135
Perth-Darwin,Perth,Darwin,Qantas,Sep-22,18,18,0,13,12,5,6,2022,9,-31.9403,115.9676,-12.4147,130.8767,66.66666666666666
Perth-Melbourne,Perth,Melbourne,Qantas,Sep-22,170,169,1,106,98,63,71,2022,9,-31.9403,115.9676,-37.669,144.841,57.98816568047337
Perth-Sydney,Perth,Sydney,Qantas,Sep-22,168,165,3,88,102,77,63,2022,9,-31.9403,115.9676,-33.9399,151.1753,61.81818181818181
Sydney-Adelaide,Sydney,Adelaide,Qantas,Sep-22,220,215,5,143,132,72,83,2022,9,-33.9399,151.1753,-34.945,138.5306,61.395348837209305
