Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Perth-Sydney,Perth,Sydney,Jetstar,Jan-20,31,30,1,26,23,4,7,2020,1,-31.9403,115.9676,-33.9399,151.1753,76.66666666666667
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Jan-20,91,87,4,58,61,29,26,2020,1,-33.9399,151.1753,-34.945,138.5306,70.11494252873564
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Jan-20,152,148,4,86,98,62,50,2020,1,-33.9399,151.1753,-27.3842,153.1175,66.21621621621621
Sydney-Cairns,Sydney,Cairns,Jetstar,Jan-20,92,91,1,68,75,23,16,2020,1,-33.9399,151.1753,-16.8858,145.7553,82.41758241758241
Sydney-Darwin,Sydney,Darwin,Jetstar,Jan-20,27,25,2,18,22,7,3,2020,1,-33.9399,151.1753,-12.4147,130.8767,88.0
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Jan-20,288,282,6,187,190,95,92,2020,1,-33.9399,151.1753,-28.1644,153.5051,67.37588652482269
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Jan-20,462,440,22,266,280,174,160,2020,1,-33.9399,151.1753,-37.669,144.841,63.63636363636363
Sydney-Perth,Sydney,Perth,Jetstar,Jan-20,31,31,0,24,27,7,4,2020,1,-33.9399,151.1753,-31.9403,115.9676,87.09677419354838
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,Jan-20,108,107,1,98,97,9,10,2020,1,-34.945,138.5306,-27.3842,153.1175,90.65420560747664
Adelaide-Canberra,Adelaide,Canberra,Qantas,Jan-20,31,30,1,28,29,2,1,2020,1,-34.945,138.5306,-35.3069,149.195,96.66666666666667
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Jan-20,256,246,10,184,182,62,64,2020,1,-34.945,138.5306,-37.669,144.841,73.98373983739837
Adelaide-Perth,Adelaide,Perth,Qantas,Jan-20,107,107,0,89,91,18,16,2020,1,-34.945,138.5306,-31.9403,115.9676,85.04672897196261
Adelaide-Sydney,Adelaide,Sydney,Qantas,Jan-20,257,252,5,206,205,46,47,2020,1,-34.945,138.5306,-33.9399,151.1753,81.34920634920636
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,Jan-20,108,106,2,87,94,19,12,2020,1,-27.3842,153.1175,-34.945,138.5306,88.67924528301887
Brisbane-Cairns,Brisbane,Cairns,Qantas,Jan-20,21,21,0,18,18,3,3,2020,1,-27.3842,153.1175,-16.8858,145.7553,85.71428571428571
Brisbane-Darwin,Brisbane,Darwin,Qantas,Jan-20,30,30,0,27,25,3,5,2020,1,-27.3842,153.1175,-12.4147,130.8767,83.33333333333334
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Jan-20,391,382,9,281,270,101,112,2020,1,-27.3842,153.1175,-37.669,144.841,70.68062827225131
Brisbane-Perth,Brisbane,Perth,Qantas,Jan-20,145,144,1,96,111,48,33,2020,1,-27.3842,153.1175,-31.9403,115.9676,77.08333333333334
Brisbane-Sydney,Brisbane,Sydney,Qantas,Jan-20,503,490,13,390,367,100,123,2020,1,-27.3842,153.1175,-33.9399,151.1753,74.89795918367346
Cairns-Brisbane,Cairns,Brisbane,Qantas,Jan-20,21,21,0,18,18,3,3,2020,1,-16.8858,145.7553,-27.3842,153.1175,85.71428571428571
Cairns-Melbourne,Cairns,Melbourne,Qantas,Jan-20,36,36,0,20,22,16,14,2020,1,-16.8858,145.7553,-37.669,144.841,61.111111111111114
Cairns-Sydney,Cairns,Sydney,Qantas,Jan-20,70,70,0,49,48,21,22,2020,1,-16.8858,145.7553,-33.9399,151.1753,68.57142857142857
Canberra-Adelaide,Canberra,Adelaide,Qantas,Jan-20,31,29,2,27,27,2,2,2020,1,-35.3069,149.195,-34.945,138.5306,93.10344827586206
Canberra-Melbourne,Canberra,Melbourne,Qantas,Jan-20,172,159,13,127,123,32,36,2020,1,-35.3069,149.195,-37.669,144.841,77.35849056603774
Darwin-Brisbane,Darwin,Brisbane,Qantas,Jan-20,31,31,0,23,20,8,11,2020,1,-12.4147,130.8767,-27.3842,153.1175,64.51612903225806
Darwin-Melbourne,Darwin,Melbourne,Qantas,Jan-20,26,26,0,21,17,5,9,2020,1,-12.4147,130.8767,-37.669,144.841,65.38461538461539
Darwin-Perth,Darwin,Perth,Qantas,Jan-20,31,31,0,30,30,1,1,2020,1,-12.4147,130.8767,-31.9403,115.9676,96.7741935483871
Darwin-Sydney,Darwin,Sydney,Qantas,Jan-20,31,31,0,26,25,5,6,2020,1,-12.4147,130.8767,-33.9399,151.1753,80.64516129032258
