"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","All Airlines","Dec-22",65,65,0,54,48,11,17,2022,12
"Brisbane-Hobart","Brisbane","Hobart","All Airlines","Dec-22",123,119,4,87,86,32,33,2022,12
"Brisbane-Launceston","Brisbane","Launceston","All Airlines","Dec-22",61,60,1,43,42,17,18,2022,12
"Brisbane-Mackay","Brisbane","Mackay","All Airlines","Dec-22",288,285,3,181,171,104,114,2022,12
"Brisbane-Melbourne","Brisbane","Melbourne","All Airlines","Dec-22",906,868,38,554,535,314,333,2022,12
"Brisbane-Mount Isa","Brisbane","Mount Isa","All Airlines","Dec-22",64,64,0,55,52,9,12,2022,12
"Brisbane-Newcastle","Brisbane","Newcastle","All Airlines","Dec-22",252,247,5,193,186,54,61,2022,12
"Brisbane-Perth","Brisbane","Perth","All Airlines","Dec-22",301,293,8,196,186,97,107,2022,12
"Brisbane-Proserpine","Brisbane","Proserpine","All Airlines","Dec-22",108,108,0,89,78,19,30,2022,12
"Brisbane-Rockhampton","Brisbane","Rockhampton","All Airlines","Dec-22",300,294,6,218,201,76,93,2022,12
"Brisbane-Sydney","Brisbane","Sydney","All Airlines","Dec-22",1202,1128,74,810,815,318,313,2022,12
"Brisbane-Townsville","Brisbane","Townsville","All Airlines","Dec-22",310,301,9,217,198,84,103,2022,12
"Broome-Perth","Broome","Perth","All Airlines","Dec-22",125,121,4,84,85,37,36,2022,12
"Cairns-Brisbane","Cairns","Brisbane","All Airlines","Dec-22",359,356,3,250,257,106,99,2022,12
"Cairns-Melbourne","Cairns","Melbourne","All Airlines","Dec-22",195,185,10,113,114,72,71,2022,12
"Cairns-Sydney","Cairns","Sydney","All Airlines","Dec-22",258,253,5,184,182,69,71,2022,12
"Cairns-Townsville","Cairns","Townsville","All Airlines","Dec-22",166,161,5,140,139,21,22,2022,12
"Canberra-Adelaide","Canberra","Adelaide","All Airlines","Dec-22",103,103,0,87,74,16,29,2022,12
"Canberra-Brisbane","Canberra","Brisbane","All Airlines","Dec-22",287,283,4,218,225,65,58,2022,12
"Canberra-Gold Coast","Canberra","Gold Coast","All Airlines","Dec-22",54,51,3,33,36,18,15,2022,12
"Canberra-Melbourne","Canberra","Melbourne","All Airlines","Dec-22",360,351,9,245,241,106,110,2022,12
"Canberra-Sydney","Canberra","Sydney","All Airlines","Dec-22",634,591,43,458,458,133,133,2022,12
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","All Airlines","Dec-22",232,230,2,187,180,43,50,2022,12
"Darwin-Brisbane","Darwin","Brisbane","All Airlines","Dec-22",108,107,1,60,80,47,27,2022,12
"Darwin-Melbourne","Darwin","Melbourne","All Airlines","Dec-22",83,81,2,47,52,34,29,2022,12
"Darwin-Perth","Darwin","Perth","All Airlines","Dec-22",52,52,0,24,26,28,26,2022,12
"Darwin-Sydney","Darwin","Sydney","All Airlines","Dec-22",91,87,4,46,69,41,18,2022,12
"Dubbo-Sydney","Dubbo","Sydney","All Airlines","Dec-22",219,216,3,170,165,46,51,2022,12
"Emerald-Brisbane","Emerald","Brisbane","All Airlines","Dec-22",133,133,0,106,108,27,25,2022,12
"Gladstone-Brisbane","Gladstone","Brisbane","All Airlines","Dec-22",173,165,8,139,127,26,38,2022,12
"Gold Coast-Adelaide","Gold Coast","Adelaide","All Airlines","Dec-22",77,75,2,55,56,20,19,2022,12
"Gold Coast-Canberra","Gold Coast","Canberra","All Airlines","Dec-22",53,53,0,33,34,20,19,2022,12
"Gold Coast-Melbourne","Gold Coast","Melbourne","All Airlines","Dec-22",632,602,30,413,401,189,201,2022,12
"Gold Coast-Sydney","Gold Coast","Sydney","All Airlines","Dec-22",737,704,33,501,488,203,216,2022,12
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","All Airlines","Dec-22",65,65,0,44,49,21,16,2022,12
"Hamilton Island-Sydney","Hamilton Island","Sydney","All Airlines","Dec-22",84,83,1,43,42,40,41,2022,12
"Hobart-Brisbane","Hobart","Brisbane","All Airlines","Dec-22",123,118,5,81,84,37,34,2022,12
"Hobart-Melbourne","Hobart","Melbourne","All Airlines","Dec-22",479,452,27,273,281,179,171,2022,12
"Hobart-Sydney","Hobart","Sydney","All Airlines","Dec-22",260,256,4,178,182,78,74,2022,12
"Kalgoorlie-Perth","Kalgoorlie","Perth","All Airlines","Dec-22",134,134,0,94,97,40,37,2022,12
"Karratha-Perth","Karratha","Perth","All Airlines","Dec-22",182,180,2,126,134,54,46,2022,12
"Launceston-Brisbane","Launceston","Brisbane","All Airlines","Dec-22",61,60,1,36,41,24,19,2022,12
"Launceston-Melbourne","Launceston","Melbourne","All Airlines","Dec-22",336,319,17,215,227,104,92,2022,12
"Launceston-Sydney","Launceston","Sydney","All Airlines","Dec-22",117,115,2,64,67,51,48,2022,12
"Mackay-Brisbane","Mackay","Brisbane","All Airlines","Dec-22",293,290,3,174,184,116,106,2022,12
"Melbourne-Adelaide","Melbourne","Adelaide","All Airlines","Dec-22",670,650,20,441,418,209,232,2022,12
"Melbourne-Brisbane","Melbourne","Brisbane","All Airlines","Dec-22",902,861,41,565,582,296,279,2022,12
"Melbourne-Cairns","Melbourne","Cairns","All Airlines","Dec-22",195,186,9,117,129,69,57,2022,12
"Melbourne-Canberra","Melbourne","Canberra","All Airlines","Dec-22",361,353,8,251,249,102,104,2022,12
"Melbourne-Darwin","Melbourne","Darwin","All Airlines","Dec-22",84,81,3,43,45,38,36,2022,12
"Melbourne-Gold Coast","Melbourne","Gold Coast","All Airlines","Dec-22",631,603,28,387,408,216,195,2022,12
"Melbourne-Hobart","Melbourne","Hobart","All Airlines","Dec-22",478,452,26,289,279,163,173,2022,12
"Melbourne-Launceston","Melbourne","Launceston","All Airlines","Dec-22",336,324,12,226,214,98,110,2022,12
"Melbourne-Mildura","Melbourne","Mildura","All Airlines","Dec-22",186,184,2,102,105,82,79,2022,12
"Melbourne-Newcastle","Melbourne","Newcastle","All Airlines","Dec-22",138,137,1,97,93,40,44,2022,12
"Melbourne-Perth","Melbourne","Perth","All Airlines","Dec-22",481,470,11,266,282,204,188,2022,12
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","All Airlines","Dec-22",229,224,5,158,166,66,58,2022,12
"Melbourne-Sydney","Melbourne","Sydney","All Airlines","Dec-22",2040,1855,185,1298,1218,557,637,2022,12
"Mildura-Melbourne","Mildura","Melbourne","All Airlines","Dec-22",187,185,2,103,96,82,89,2022,12
"Mount Isa-Brisbane","Mount Isa","Brisbane","All Airlines","Dec-22",64,63,1,54,52,9,11,2022,12
"Newcastle-Brisbane","Newcastle","Brisbane","All Airlines","Dec-22",256,250,6,203,201,47,49,2022,12
"Newcastle-Melbourne","Newcastle","Melbourne","All Airlines","Dec-22",136,134,2,91,87,43,47,2022,12
"Newman-Perth","Newman","Perth","All Airlines","Dec-22",155,149,6,105,104,44,45,2022,12
"Perth-Adelaide","Perth","Adelaide","All Airlines","Dec-22",197,186,11,127,124,59,62,2022,12
"Perth-Brisbane","Perth","Brisbane","All Airlines","Dec-22",301,292,9,181,232,111,60,2022,12
"Perth-Broome","Perth","Broome","All Airlines","Dec-22",124,120,4,90,98,30,22,2022,12
"Perth-Darwin","Perth","Darwin","All Airlines","Dec-22",52,52,0,33,33,19,19,2022,12
"Perth-Kalgoorlie","Perth","Kalgoorlie","All Airlines","Dec-22",134,134,0,106,105,28,29,2022,12
"Perth-Karratha","Perth","Karratha","All Airlines","Dec-22",182,180,2,150,149,30,31,2022,12
"Perth-Melbourne","Perth","Melbourne","All Airlines","Dec-22",493,479,14,279,294,200,185,2022,12
"Perth-Newman","Perth","Newman","All Airlines","Dec-22",155,150,5,122,124,28,26,2022,12
"Perth-Port Hedland","Perth","Port Hedland","All Airlines","Dec-22",167,164,3,136,133,28,31,2022,12
"Perth-Sydney","Perth","Sydney","All Airlines","Dec-22",385,376,9,210,245,166,131,2022,12
"Port Hedland-Perth","Port Hedland","Perth","All Airlines","Dec-22",167,163,4,96,98,67,65,2022,12
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","All Airlines","Dec-22",255,248,7,196,190,52,58,2022,12
"Port Macquarie-Sydney","Port Macquarie","Sydney","All Airlines","Dec-22",199,198,1,163,155,35,43,2022,12
"Proserpine-Brisbane","Proserpine","Brisbane","All Airlines","Dec-22",108,108,0,72,75,36,33,2022,12
"Rockhampton-Brisbane","Rockhampton","Brisbane","All Airlines","Dec-22",302,293,9,215,214,78,79,2022,12
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","All Airlines","Dec-22",229,222,7,143,130,79,92,2022,12
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","All Airlines","Dec-22",295,271,24,186,164,85,107,2022,12
"Sydney-Adelaide","Sydney","Adelaide","All Airlines","Dec-22",477,457,20,306,298,151,159,2022,12
"Sydney-Albury","Sydney","Albury","All Airlines","Dec-22",194,194,0,149,155,45,39,2022,12
"Sydney-Armidale","Sydney","Armidale","All Airlines","Dec-22",154,153,1,124,133,29,20,2022,12
"Sydney-Ballina","Sydney","Ballina","All Airlines","Dec-22",229,224,5,157,163,67,61,2022,12
"Sydney-Brisbane","Sydney","Brisbane","All Airlines","Dec-22",1205,1132,73,791,806,341,326,2022,12
"Sydney-Cairns","Sydney","Cairns","All Airlines","Dec-22",258,254,4,180,181,74,73,2022,12
"Sydney-Canberra","Sydney","Canberra","All Airlines","Dec-22",634,589,45,467,494,122,95,2022,12
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","All Airlines","Dec-22",231,230,1,180,193,50,37,2022,12
"Sydney-Darwin","Sydney","Darwin","All Airlines","Dec-22",88,86,2,64,60,22,26,2022,12
"Sydney-Dubbo","Sydney","Dubbo","All Airlines","Dec-22",221,218,3,155,174,63,44,2022,12
"Sydney-Gold Coast","Sydney","Gold Coast","All Airlines","Dec-22",736,703,33,496,496,207,207,2022,12
"Sydney-Hamilton Island","Sydney","Hamilton Island","All Airlines","Dec-22",84,83,1,50,51,33,32,2022,12
"Sydney-Hobart","Sydney","Hobart","All Airlines","Dec-22",259,256,3,192,200,64,56,2022,12
"Sydney-Launceston","Sydney","Launceston","All Airlines","Dec-22",115,114,1,74,77,40,37,2022,12
"Sydney-Melbourne","Sydney","Melbourne","All Airlines","Dec-22",2027,1838,189,1202,1249,636,589,2022,12
"Sydney-Perth","Sydney","Perth","All Airlines","Dec-22",394,387,7,207,217,180,170,2022,12
"Sydney-Port Macquarie","Sydney","Port Macquarie","All Airlines","Dec-22",196,195,1,152,164,43,31,2022,12
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","All Airlines","Dec-22",293,274,19,199,187,75,87,2022,12
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","All Airlines","Dec-22",206,203,3,160,162,43,41,2022,12
"Townsville-Brisbane","Townsville","Brisbane","All Airlines","Dec-22",311,302,9,192,207,110,95,2022,12
"Townsville-Cairns","Townsville","Cairns","All Airlines","Dec-22",166,159,7,138,142,21,17,2022,12
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","All Airlines","Dec-22",200,197,3,163,159,34,38,2022,12
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Jan-23",32,30,2,20,21,10,9,2023,1
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Jan-23",31,31,0,25,25,6,6,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Jan-23",111,103,8,54,64,49,39,2023,1
"Adelaide-Perth","Adelaide","Perth","Jetstar","Jan-23",31,29,2,26,28,3,1,2023,1
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Jan-23",122,108,14,91,87,17,21,2023,1
"Ballina-Sydney","Ballina","Sydney","Jetstar","Jan-23",91,90,1,71,62,19,28,2023,1
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Jan-23",32,30,2,18,17,12,13,2023,1
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Jan-23",89,85,4,60,63,25,22,2023,1
"Brisbane-Canberra","Brisbane","Canberra","Jetstar","Jan-23",30,30,0,27,27,3,3,2023,1
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Jan-23",24,24,0,15,19,9,5,2023,1
"Brisbane-Hobart","Brisbane","Hobart","Jetstar","Jan-23",31,31,0,22,24,9,7,2023,1
"Brisbane-Launceston","Brisbane","Launceston","Jetstar","Jan-23",31,31,0,16,15,15,16,2023,1
"Brisbane-Mackay","Brisbane","Mackay","Jetstar","Jan-23",30,30,0,23,25,7,5,2023,1
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Jan-23",164,142,22,91,98,51,44,2023,1
"Brisbane-Newcastle","Brisbane","Newcastle","Jetstar","Jan-23",60,60,0,47,48,13,12,2023,1
"Brisbane-Perth","Brisbane","Perth","Jetstar","Jan-23",25,24,1,12,20,12,4,2023,1
"Brisbane-Proserpine","Brisbane","Proserpine","Jetstar","Jan-23",37,33,4,25,26,8,7,2023,1
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Jan-23",170,145,25,95,99,50,46,2023,1
"Brisbane-Townsville","Brisbane","Townsville","Jetstar","Jan-23",50,49,1,40,40,9,9,2023,1
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Jan-23",89,86,3,60,54,26,32,2023,1
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","Jan-23",95,91,4,47,52,44,39,2023,1
"Cairns-Sydney","Cairns","Sydney","Jetstar","Jan-23",95,88,7,59,71,29,17,2023,1
"Canberra-Brisbane","Canberra","Brisbane","Jetstar","Jan-23",31,31,0,24,24,7,7,2023,1
"Canberra-Gold Coast","Canberra","Gold Coast","Jetstar","Jan-23",17,17,0,9,10,8,7,2023,1
"Canberra-Melbourne","Canberra","Melbourne","Jetstar","Jan-23",31,29,2,9,12,20,17,2023,1
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Jan-23",23,23,0,13,11,10,12,2023,1
"Darwin-Melbourne","Darwin","Melbourne","Jetstar","Jan-23",24,24,0,9,7,15,17,2023,1
"Darwin-Sydney","Darwin","Sydney","Jetstar","Jan-23",24,24,0,11,15,13,9,2023,1
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Jan-23",31,31,0,22,23,9,8,2023,1
"Gold Coast-Canberra","Gold Coast","Canberra","Jetstar","Jan-23",17,17,0,8,10,9,7,2023,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","Jan-23",227,202,25,118,120,84,82,2023,1
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","Jan-23",294,266,28,196,187,70,79,2023,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","Jetstar","Jan-23",26,26,0,7,7,19,19,2023,1
"Hobart-Brisbane","Hobart","Brisbane","Jetstar","Jan-23",31,31,0,21,21,10,10,2023,1
"Hobart-Melbourne","Hobart","Melbourne","Jetstar","Jan-23",211,188,23,94,104,94,84,2023,1
"Hobart-Sydney","Hobart","Sydney","Jetstar","Jan-23",94,92,2,69,71,23,21,2023,1
"Launceston-Brisbane","Launceston","Brisbane","Jetstar","Jan-23",31,31,0,10,14,21,17,2023,1
"Launceston-Melbourne","Launceston","Melbourne","Jetstar","Jan-23",151,138,13,67,78,71,60,2023,1
"Launceston-Sydney","Launceston","Sydney","Jetstar","Jan-23",72,70,2,53,52,17,18,2023,1
"Mackay-Brisbane","Mackay","Brisbane","Jetstar","Jan-23",31,31,0,22,21,9,10,2023,1
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Jan-23",111,103,8,54,54,49,49,2023,1
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Jan-23",163,141,22,67,72,74,69,2023,1
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","Jan-23",95,91,4,52,58,39,33,2023,1
"Melbourne-Canberra","Melbourne","Canberra","Jetstar","Jan-23",31,29,2,10,10,19,19,2023,1
"Melbourne-Darwin","Melbourne","Darwin","Jetstar","Jan-23",25,25,0,10,11,15,14,2023,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","Jan-23",227,202,25,97,99,105,103,2023,1
"Melbourne-Hobart","Melbourne","Hobart","Jetstar","Jan-23",211,190,21,97,96,93,94,2023,1
"Melbourne-Launceston","Melbourne","Launceston","Jetstar","Jan-23",148,135,13,79,77,56,58,2023,1
"Melbourne-Newcastle","Melbourne","Newcastle","Jetstar","Jan-23",60,59,1,39,36,20,23,2023,1
"Melbourne-Perth","Melbourne","Perth","Jetstar","Jan-23",75,68,7,35,35,33,33,2023,1
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Jetstar","Jan-23",73,68,5,50,47,18,21,2023,1
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Jan-23",401,344,57,214,216,130,128,2023,1
"Newcastle-Brisbane","Newcastle","Brisbane","Jetstar","Jan-23",60,60,0,46,45,14,15,2023,1
"Newcastle-Melbourne","Newcastle","Melbourne","Jetstar","Jan-23",61,60,1,39,41,21,19,2023,1
"Perth-Adelaide","Perth","Adelaide","Jetstar","Jan-23",32,30,2,25,22,5,8,2023,1
"Perth-Brisbane","Perth","Brisbane","Jetstar","Jan-23",25,23,2,13,12,10,11,2023,1
"Perth-Melbourne","Perth","Melbourne","Jetstar","Jan-23",76,67,9,11,21,56,46,2023,1
"Perth-Sydney","Perth","Sydney","Jetstar","Jan-23",44,42,2,14,27,28,15,2023,1
"Proserpine-Brisbane","Proserpine","Brisbane","Jetstar","Jan-23",36,32,4,22,22,10,10,2023,1
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Jetstar","Jan-23",73,68,5,44,45,24,23,2023,1
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Jetstar","Jan-23",100,89,11,63,54,26,35,2023,1
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Jan-23",121,109,12,83,87,26,22,2023,1
"Sydney-Ballina","Sydney","Ballina","Jetstar","Jan-23",91,90,1,75,78,15,12,2023,1
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Jan-23",171,145,26,91,96,54,49,2023,1
"Sydney-Cairns","Sydney","Cairns","Jetstar","Jan-23",93,88,5,64,65,24,23,2023,1
"Sydney-Darwin","Sydney","Darwin","Jetstar","Jan-23",24,24,0,11,14,13,10,2023,1
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Jan-23",293,267,26,191,191,76,76,2023,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Jetstar","Jan-23",26,26,0,13,15,13,11,2023,1
"Sydney-Hobart","Sydney","Hobart","Jetstar","Jan-23",94,92,2,69,78,23,14,2023,1
"Sydney-Launceston","Sydney","Launceston","Jetstar","Jan-23",73,73,0,54,54,19,19,2023,1
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Jan-23",397,343,54,204,224,139,119,2023,1
"Sydney-Perth","Sydney","Perth","Jetstar","Jan-23",45,44,1,25,31,19,13,2023,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Jetstar","Jan-23",100,90,10,71,68,19,22,2023,1
"Townsville-Brisbane","Townsville","Brisbane","Jetstar","Jan-23",50,49,1,41,39,8,10,2023,1
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Jan-23",9,9,0,8,8,1,1,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas","Jan-23",227,222,5,177,172,45,50,2023,1
"Adelaide-Perth","Adelaide","Perth","Qantas","Jan-23",108,108,0,93,96,15,12,2023,1
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Jan-23",195,194,1,141,159,53,35,2023,1
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Jan-23",9,9,0,7,7,2,2,2023,1
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Jan-23",119,119,0,114,116,5,3,2023,1
"Brisbane-Canberra","Brisbane","Canberra","Qantas","Jan-23",26,26,0,25,26,1,0,2023,1
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Jan-23",6,6,0,5,5,1,1,2023,1
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Qantas","Jan-23",22,22,0,21,21,1,1,2023,1
"Brisbane-Mackay","Brisbane","Mackay","Qantas","Jan-23",110,109,1,98,97,11,12,2023,1
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas","Jan-23",337,332,5,287,271,45,61,2023,1
"Brisbane-Mount Isa","Brisbane","Mount Isa","Qantas","Jan-23",25,25,0,25,25,0,0,2023,1
"Brisbane-Perth","Brisbane","Perth","Qantas","Jan-23",168,167,1,137,140,30,27,2023,1
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Jan-23",443,429,14,367,357,62,72,2023,1
"Brisbane-Townsville","Brisbane","Townsville","Qantas","Jan-23",102,102,0,92,95,10,7,2023,1
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Jan-23",118,118,0,112,111,6,7,2023,1
"Cairns-Melbourne","Cairns","Melbourne","Qantas","Jan-23",42,42,0,36,36,6,6,2023,1
"Cairns-Sydney","Cairns","Sydney","Qantas","Jan-23",62,62,0,48,45,14,17,2023,1
"Canberra-Brisbane","Canberra","Brisbane","Qantas","Jan-23",26,26,0,26,26,0,0,2023,1
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Jan-23",6,5,1,4,4,1,1,2023,1
"Darwin-Melbourne","Darwin","Melbourne","Qantas","Jan-23",26,26,0,25,24,1,2,2023,1
"Darwin-Perth","Darwin","Perth","Qantas","Jan-23",21,21,0,15,16,6,5,2023,1
"Darwin-Sydney","Darwin","Sydney","Qantas","Jan-23",31,31,0,25,23,6,8,2023,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas","Jan-23",76,76,0,57,58,19,18,2023,1
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas","Jan-23",99,99,0,79,67,20,32,2023,1
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Qantas","Jan-23",22,22,0,16,18,6,4,2023,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","Qantas","Jan-23",31,31,0,21,22,10,9,2023,1
"Hobart-Melbourne","Hobart","Melbourne","Qantas","Jan-23",28,27,1,20,20,7,7,2023,1
"Hobart-Sydney","Hobart","Sydney","Qantas","Jan-23",36,36,0,26,29,10,7,2023,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","Qantas","Jan-23",27,27,0,26,26,1,1,2023,1
"Karratha-Perth","Karratha","Perth","Qantas","Jan-23",27,26,1,22,21,4,5,2023,1
"Mackay-Brisbane","Mackay","Brisbane","Qantas","Jan-23",110,109,1,94,96,15,13,2023,1
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas","Jan-23",228,226,2,186,186,40,40,2023,1
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas","Jan-23",336,330,6,265,274,65,56,2023,1
"Melbourne-Cairns","Melbourne","Cairns","Qantas","Jan-23",42,42,0,35,36,7,6,2023,1
"Melbourne-Darwin","Melbourne","Darwin","Qantas","Jan-23",25,25,0,14,17,11,8,2023,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas","Jan-23",75,75,0,60,62,15,13,2023,1
"Melbourne-Hobart","Melbourne","Hobart","Qantas","Jan-23",28,27,1,22,22,5,5,2023,1
"Melbourne-Perth","Melbourne","Perth","Qantas","Jan-23",238,237,1,171,162,66,75,2023,1
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Qantas","Jan-23",32,30,2,25,25,5,5,2023,1
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Jan-23",651,605,46,500,467,105,138,2023,1
"Mount Isa-Brisbane","Mount Isa","Brisbane","Qantas","Jan-23",25,25,0,24,24,1,1,2023,1
"Newman-Perth","Newman","Perth","Qantas","Jan-23",14,13,1,10,10,3,3,2023,1
"Perth-Adelaide","Perth","Adelaide","Qantas","Jan-23",108,108,0,81,87,27,21,2023,1
"Perth-Brisbane","Perth","Brisbane","Qantas","Jan-23",166,165,1,139,149,26,16,2023,1
"Perth-Darwin","Perth","Darwin","Qantas","Jan-23",21,21,0,15,14,6,7,2023,1
"Perth-Kalgoorlie","Perth","Kalgoorlie","Qantas","Jan-23",27,27,0,26,26,1,1,2023,1
"Perth-Karratha","Perth","Karratha","Qantas","Jan-23",27,26,1,26,24,0,2,2023,1
"Perth-Melbourne","Perth","Melbourne","Qantas","Jan-23",237,234,3,143,171,91,63,2023,1
"Perth-Newman","Perth","Newman","Qantas","Jan-23",14,13,1,12,11,1,2,2023,1
"Perth-Port Hedland","Perth","Port Hedland","Qantas","Jan-23",35,35,0,22,21,13,14,2023,1
"Perth-Sydney","Perth","Sydney","Qantas","Jan-23",196,195,1,129,144,66,51,2023,1
"Port Hedland-Perth","Port Hedland","Perth","Qantas","Jan-23",35,33,2,22,22,11,11,2023,1
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Qantas","Jan-23",32,30,2,22,22,8,8,2023,1
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Qantas","Jan-23",48,46,2,38,39,8,7,2023,1
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Jan-23",195,194,1,142,148,52,46,2023,1
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Jan-23",448,433,15,311,319,122,114,2023,1
"Sydney-Cairns","Sydney","Cairns","Qantas","Jan-23",62,62,0,43,45,19,17,2023,1
"Sydney-Darwin","Sydney","Darwin","Qantas","Jan-23",31,31,0,22,24,9,7,2023,1
"Sydney-Gold Coast","Sydney","Gold Coast","Qantas","Jan-23",99,99,0,81,82,18,17,2023,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Qantas","Jan-23",31,31,0,27,27,4,4,2023,1
"Sydney-Hobart","Sydney","Hobart","Qantas","Jan-23",36,36,0,32,33,4,3,2023,1
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Jan-23",652,607,45,457,474,150,133,2023,1
"Sydney-Perth","Sydney","Perth","Qantas","Jan-23",199,197,2,112,105,85,92,2023,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Qantas","Jan-23",48,46,2,35,39,11,7,2023,1
"Townsville-Brisbane","Townsville","Brisbane","Qantas","Jan-23",101,100,1,93,93,7,7,2023,1
"Adelaide-Alice Springs","Adelaide","Alice Springs","QantasLink","Jan-23",38,38,0,32,29,6,9,2023,1
"Adelaide-Brisbane","Adelaide","Brisbane","QantasLink","Jan-23",152,152,0,105,119,47,33,2023,1
"Adelaide-Canberra","Adelaide","Canberra","QantasLink","Jan-23",57,57,0,55,54,2,3,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","QantasLink","Jan-23",13,12,1,12,10,0,2,2023,1
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","QantasLink","Jan-23",138,134,4,126,128,8,6,2023,1
"Albury-Sydney","Albury","Sydney","QantasLink","Jan-23",93,89,4,78,78,11,11,2023,1
"Alice Springs-Adelaide","Alice Springs","Adelaide","QantasLink","Jan-23",39,38,1,25,26,13,12,2023,1
"Armidale-Sydney","Armidale","Sydney","QantasLink","Jan-23",97,90,7,77,73,13,17,2023,1
"Ballina-Sydney","Ballina","Sydney","QantasLink","Jan-23",97,92,5,78,78,14,14,2023,1
"Brisbane-Adelaide","Brisbane","Adelaide","QantasLink","Jan-23",153,153,0,116,100,37,53,2023,1
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Jan-23",4,4,0,3,4,1,0,2023,1
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Jan-23",115,114,1,97,86,17,28,2023,1
"Brisbane-Darwin","Brisbane","Darwin","QantasLink","Jan-23",42,42,0,15,24,27,18,2023,1
