"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Jan-20",153,145,8,114,116,31,29,2020,1
"Brisbane-Emerald","Brisbane","Emerald","QantasLink","Jan-20",118,117,1,105,105,12,12,2020,1
"Brisbane-Gladstone","Brisbane","Gladstone","QantasLink","Jan-20",130,130,0,110,109,20,21,2020,1
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","QantasLink","Jan-20",32,31,1,26,27,5,4,2020,1
"Brisbane-Mackay","Brisbane","Mackay","QantasLink","Jan-20",130,125,5,104,102,21,23,2020,1
"Brisbane-Mount Isa","Brisbane","Mount Isa","QantasLink","Jan-20",51,51,0,38,43,13,8,2020,1
"Brisbane-Newcastle","Brisbane","Newcastle","QantasLink","Jan-20",78,75,3,70,67,5,8,2020,1
"Brisbane-Rockhampton","Brisbane","Rockhampton","QantasLink","Jan-20",168,168,0,141,142,27,26,2020,1
"Brisbane-Sydney","Brisbane","Sydney","QantasLink","Jan-20",5,5,0,3,2,2,3,2020,1
"Brisbane-Townsville","Brisbane","Townsville","QantasLink","Jan-20",108,107,1,91,92,16,15,2020,1
"Broome-Perth","Broome","Perth","QantasLink","Jan-20",85,81,4,66,70,15,11,2020,1
"Bundaberg-Brisbane","Bundaberg","Brisbane","QantasLink","Jan-20",104,104,0,95,99,9,5,2020,1
"Cairns-Brisbane","Cairns","Brisbane","QantasLink","Jan-20",134,132,2,112,109,20,23,2020,1
"Cairns-Townsville","Cairns","Townsville","QantasLink","Jan-20",137,137,0,126,126,11,11,2020,1
"Canberra-Adelaide","Canberra","Adelaide","QantasLink","Jan-20",4,4,0,2,3,2,1,2020,1
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Jan-20",154,144,10,117,117,27,27,2020,1
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Jan-20",34,32,2,19,18,13,14,2020,1
"Canberra-Sydney","Canberra","Sydney","QantasLink","Jan-20",321,292,29,208,197,84,95,2020,1
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","QantasLink","Jan-20",129,129,0,91,88,38,41,2020,1
"Darwin-Alice Springs","Darwin","Alice Springs","QantasLink","Jan-20",35,34,1,31,27,3,7,2020,1
"Dubbo-Sydney","Dubbo","Sydney","QantasLink","Jan-20",100,97,3,62,63,35,34,2020,1
"Emerald-Brisbane","Emerald","Brisbane","QantasLink","Jan-20",119,118,1,104,102,14,16,2020,1
"Gladstone-Brisbane","Gladstone","Brisbane","QantasLink","Jan-20",129,129,0,105,106,24,23,2020,1
"Gold Coast-Sydney","Gold Coast","Sydney","QantasLink","Jan-20",39,39,0,26,26,13,13,2020,1
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","QantasLink","Jan-20",31,30,1,22,22,8,8,2020,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","QantasLink","Jan-20",20,19,1,15,15,4,4,2020,1
