Departing_Port,Arriving_Port,Airline,Sectors_Flown,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude
Gold Coast,Adelaide,QantasLink,114,-28.1644,153.5051,-34.945,138.5306
Gold Coast,Adelaide,Virgin Australia,1484,-28.1644,153.5051,-34.945,138.5306
Gold Coast,Cairns,Jetstar,100,-28.1644,153.5051,-16.8858,145.7553
Gold Coast,Cairns,Virgin Australia,31,-28.1644,153.5051,-16.8858,145.7553
Gold Coast,Canberra,Jetstar,441,-28.1644,153.5051,-35.3069,149.195
Gold Coast,Canberra,QantasLink,22,-28.1644,153.5051,-35.3069,149.195
Gold Coast,Canberra,Virgin Australia,774,-28.1644,153.5051,-35.3069,149.195
Gold Coast,Melbourne,Bonza,62,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Jetstar,8092,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Qantas,1786,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,QantasLink,371,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Regional Express,156,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Rex Airlines,1127,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Tigerair Australia,156,-28.1644,153.5051,-37.669,144.841
Gold Coast,Melbourne,Virgin Australia,10121,-28.1644,153.5051,-37.669,144.841
Gold Coast,Sydney,Jetstar,9607,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,Qantas,3652,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,QantasLink,704,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,Regional Express,172,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,Rex Airlines,1046,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,Tigerair Australia,166,-28.1644,153.5051,-33.9399,151.1753
Gold Coast,Sydney,Virgin Australia,11371,-28.1644,153.5051,-33.9399,151.1753
Melbourne,Adelaide,Jetstar,4329,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Qantas,9439,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,QantasLink,324,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Regional Express,142,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Rex Airlines,1755,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Tigerair Australia,126,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Virgin Australia,9783,-37.669,144.841,-34.945,138.5306
Melbourne,Adelaide,Virgin Australia Regional Airlines,16,-37.669,144.841,-34.945,138.5306
Melbourne,Brisbane,Jetstar,5915,-37.669,144.841,-27.3842,153.1175
Melbourne,Brisbane,Qantas,14097,-37.669,144.841,-27.3842,153.1175
Melbourne,Brisbane,QantasLink,158,-37.669,144.841,-27.3842,153.1175
Melbourne,Brisbane,Rex Airlines,1649,-37.669,144.841,-27.3842,153.1175
Melbourne,Brisbane,Tigerair Australia,219,-37.669,144.841,-27.3842,153.1175
Melbourne,Brisbane,Virgin Australia,13822,-37.669,144.841,-27.3842,153.1175
Melbourne,Cairns,Jetstar,3851,-37.669,144.841,-16.8858,145.7553
